Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..2.9.....1.5.....65...1.2.......354....4.1...3..7.2..4.6....19.9.2.....1....6...,24,31,26,1,0,1,0,0,0,Intermediate,
82.7...5.4.382..7..5.1.........68.42..5.....13..............2.8.....35...64......,24,30,27,1,0,0,0,0,0,Intermediate,
.......9.6.....3....3158.67.52.7...1...29.7.3..........15.8.2.9....1..8...7......,25,42,14,3,0,0,1,0,0,Intermediate,
.....87...3...4.8.8..5716....6....3.4..7...581.5.2..........4.2.61.....7.........,24,46,11,2,0,0,0,0,0,Intermediate,
6.........39..2.1.2........9.83....25....8.6....4.189.3....4..98...5.4.3.5.....8.,26,42,13,2,0,0,0,0,0,Intermediate,
...7..6.225...64.7....15.9.1.9.4.......3......7.....29.4......56........79.5...6.,25,34,22,1,0,0,0,0,0,Intermediate,
.7...6.3.1.5......8.23...5.2.....16....14.7.8....5...3............8.7.26...2.1...,24,43,14,1,0,0,0,0,0,Intermediate,
..8....4......39..........54...1.2..9...3.1..23.54...7..2...37..5.....82..49.....,24,33,24,1,0,0,0,0,0,Intermediate,
6.3574........2....2.3.......9..3.8..7..4.....4...632......9..2.6.....3...54..6..,24,36,21,1,0,0,0,0,0,Intermediate,
.....2..7.....865.8....7923.9.....3...865.7...15.3....57.....9.231...............,25,52,4,2,0,0,0,0,0,Intermediate,
..3....6...6.4.231.2....5.41.7...4..6...149...3......5......3..5.1..2....4..6.1.9,27,39,15,1,0,1,0,0,0,Intermediate,
.....8....356.2.8..2..5......7.358.....279..........3..64.......8...74.57...83.6.,26,44,11,1,0,2,0,0,0,Intermediate,
9.7..8...8.6...97........3...2.3.......5.96...6........28..71.63......52........7,23,37,21,0,2,2,0,0,0,Intermediate,
46...28.....5...3....68.....7.........5......12......5..72.5.1...34...7.8..13.24.,25,33,23,2,0,0,0,0,0,Intermediate,
.3..........5...1.6..7...9.27..6.15.....1.8..35.......1...2....56..39.2.92...73..,26,48,7,1,0,0,0,0,0,Intermediate,
.34...85.2...85...7....4.......9.2..8...7..3.....6.9.5...62...9..8.....7....43...,24,44,13,2,0,0,0,0,0,Intermediate,
9.265..38....91.7........156..3......5.82....1....9........8......9....7..87...5.,24,35,22,1,0,0,0,0,0,Intermediate,
2.3.5.1...59.....81...28.........2....1....79597...6..9.......2.6..8.3...7.....5.,25,52,4,0,1,4,0,0,0,Intermediate,
..1...6.83.7.....95....6.3..........2.3.9...5....28..1...2........97.3....5.13..2,24,37,20,0,0,1,0,0,0,Intermediate,
..3........6.8...2....7.84.....37...6....2.8.859......2....4.3..4...6..5.......67,23,37,21,1,0,0,0,0,0,Intermediate,
.......68...3.......4..2...3485....1.126..9..5.......3.6982...58...5..4.4.......9,26,45,10,1,0,0,1,0,0,Intermediate,
..71...8.39..........2.7....4......9...4..1..732..9....7.........486....6.1.4..23,24,45,12,1,0,0,0,0,0,Intermediate,
.........1.....5244.9..5.1.9.2.7.8.........39.4.3..7...91....858.........734.2...,26,44,11,1,0,0,0,0,0,Intermediate,
..348.9......27....18..6.741.........84.1...7.6.3.2........4...72..6......6179...,27,44,10,1,0,0,0,0,0,Intermediate,
3..1.86..8.......7....75..8..5..91.6.948.........4.9..4...3..51...........3.5....,24,41,16,1,0,0,0,0,0,Intermediate,
...5.....53.8.62..............7..68...........48.3.1....26.3.1.3.62.58....4.87.6.,26,47,8,1,0,0,0,0,0,Intermediate,
3..52........7..3....49.7.29...54..62.........1.26.5..1.7.........34.6........3.9,25,51,5,1,0,3,0,0,0,Intermediate,
7...8...2..1...85.9.2...71.6.385.2.....6......5..3.1..2..........61........5.7..3,25,36,20,2,0,0,0,0,0,Intermediate,
........4......31...1742.5...7.5...1..61..4.79..............9.....63.....72.146.5,25,43,13,1,0,2,0,0,0,Intermediate,
4..857..31...4.....6.2......8..76.4.534....61.................83...6...5.7.52....,25,33,23,1,0,0,0,0,0,Intermediate,
4....67.8..358.64.......9...35.....78........7642.53.....46.....5.7.2........8...,26,43,12,0,0,1,0,0,0,Intermediate,
..4....1..1...7......43..8.87..5934.1..6..7...6.7.85........679.9..........3.....,25,41,15,3,0,0,0,0,0,Intermediate,
......5.6.6.7....3735..4..19.34.5...6.19.8..........85.478.6...8........5....1...,27,36,18,2,0,0,0,0,0,Intermediate,
.6...89.5..85...647.93.......4...2.......9.......7.4.8....8.5.9......72.....36...,24,46,11,1,0,0,0,0,0,Intermediate,
.541.2....9...5.8..1..4..6....3..219.2...185....8.....24...6.3.....8.62..........,26,45,10,2,1,0,0,0,0,Intermediate,
..4.....86...42...85.3.7.........6.9.4...3.273.............9.4....26.89.....8.5..,24,43,14,1,0,0,0,0,0,Intermediate,
.594...........24...85.6.1....9.5.2.8....19....1....6.9.....1....7...4.6....1.78.,25,40,16,3,0,0,0,0,0,Intermediate,
